Company Name,Job Title,Salary,Location,Post Time
Ngân Hàng TMCP Tiên Phong (TPBank),Chuyên viên cao cấp/Trưởng nhóm Phòng Quản lý ngân sách và Dịch vụ nội bộ - Khối Tài chính, Cạnh tranh,"
Hà Nội
",17/03/2022
Tập Đoàn Tân Á Đại Thành,Giám đốc Công nghệ thông tin (Mới), Trên 55 Tr VND,"
Hà Nội Hồ Chí Minh
",17/03/2022
Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Chuyên viên phát triển BackEnd - Trung tâm Phát triển - Khối CNTT (Mới), Cạnh tranh,"
Hà Nội
",17/03/2022
Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Chuyên viên phát triển Tích hợp - Dự án nâng cấp CoreBanking (Mới), Cạnh tranh,"
Hà Nội
",17/03/2022
Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Chuyên viên phát triển Tích hợp - Dự án nâng cấp CoreBanking, Cạnh tranh,"
Hà Nội
",07/03/2022
Ngân Hàng Thương Mại Cổ Phần Đông Nam Á (SeABank),Khối KHCN - Chuyên gia Phân tích Hỗ trợ Kinh doanh (BI), Cạnh tranh,"
Hà Nội
",22/02/2022
Công ty TNHH Đầu tư Central Capital,NHÂN VIÊN IT - HÀ NỘI, 12 Tr - 15 Tr VND,"
Hà Nội
",20/02/2022
Công ty TNHH Đầu tư Central Capital,NHÂN VIÊN IT (KHÔNG CẦN KINH NGHIỆM) - HÀ NỘI, Cạnh tranh,"
Hà Nội
",14/03/2022
Công Ty CP Chứng Khoán VNDIRECT,Chuyên viên Vận hành ứng dụng, Cạnh tranh,"
Hà Nội
",15/03/2022
Công ty Cổ phần Đầu tư Phát triển Công nghệ điện tử viễn thông,[HN] Test Lead, 10 Tr - 20 Tr VND,"
Hà Nội
",08/03/2022
Công ty Cổ phần Đầu tư Phát triển Công nghệ điện tử viễn thông,[ELCOM Hà Nội] Tuyển dụng Tester, 15 Tr - 25 Tr VND,"
Hà Nội
",28/02/2022
Ngân Hàng Xây Dựng,Chuyên viên vận hành hệ thống Corebanking 2, Cạnh tranh,"
Hồ Chí Minh Hà Nội
",11/03/2022
Công ty Cổ phần Đầu tư Phát triển Công nghệ điện tử viễn thông,[ELCOM HN] Tuyển dụng Tester, 10 Tr - 25 Tr VND,"
Hà Nội
",16/03/2022
Công Ty TNHH Bảo Hiểm Phi Nhân Thọ MSIG Việt Nam,Senior Executive (System - Cloud) / IT Division, Cạnh tranh,"
Hà Nội
",16/03/2022
Ngân Hàng TMCP Quốc Dân (NCB),Trưởng phòng - Phòng ALM - Khối Quản trị tài chính, Cạnh tranh,"
Hà Nội
",18/02/2022
Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Chuyên Viên Quản Trị Vận Hành Cơ Sở Dữ Liệu, Cạnh tranh,"
Hà Nội
",06/03/2022
Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Chuyên viên Quản trị Vận hành Cơ sở Dữ liệu, Cạnh tranh,"
Hà Nội
",08/03/2022
Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Chuyên viên Quản trị Vận hành Cơ sở Dữ liệu (Mới), Cạnh tranh,"
Hà Nội
",17/03/2022
Công Ty CP Chứng Khoán VNDIRECT,Chuyên viên cao cấp Quản trị rủi ro tuân thủ tín dụng, Cạnh tranh,"
Hà Nội
",16/03/2022
Công ty Cổ Phần Thương mại và Dịch vụ SBO Việt Nam,OPERATION MANAGER - F&B, 40 Tr - 45 Tr VND,"
Hà Nội
",08/03/2022
Công Ty CP Chứng Khoán VNDIRECT,Chuyên viên quản trị rủi ro hoạt động, Cạnh tranh,"
Hà Nội
",14/03/2022
Công Ty CP Chứng Khoán VNDIRECT,Chuyên Viên Thúc Đẩy Kinh Doanh, Cạnh tranh,"
Hà Nội
",14/03/2022
Công Ty CP Chứng Khoán VNDIRECT,Chuyên viên Giám sát rủi ro thị trường, Cạnh tranh,"
Hà Nội
",16/03/2022
Công Ty CP Chứng Khoán VNDIRECT,Chuyên viên Giao dịch sản phẩm, Cạnh tranh,"
Hà Nội
",16/03/2022
Công Ty CP Chứng Khoán VNDIRECT,Chuyên Gia Thúc Đẩy Kinh Doanh, Cạnh tranh,"
Hà Nội
",14/03/2022
Ngân Hàng Thương mại cổ phần Bắc Á- BAC A BANK,Chuyên viên Phát triển ứng dụng (Backend) - [BAC A BANK - Khối Ngân hàng Số], Cạnh tranh,"
Hà Nội
",27/02/2022
Ngân Hàng Thương mại cổ phần Bắc Á- BAC A BANK,Chuyên viên Phát triển ứng dụng (Backend) - [BAC A BANK - Khối Ngân hàng Số], Cạnh tranh,"
Hà Nội
",16/03/2022
Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Trưởng phòng Quản lý Dự án Basel II, Cạnh tranh,"
Hà Nội
",17/03/2022
Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Trưởng phòng Quản lý Dự án Basel II (Mới), Cạnh tranh,"
Hà Nội
",17/03/2022
CÔNG TY CỔ PHẦN GIẢI PHÁP VÀ DỊCH VỤ CÔNG NGHỆ VANTIX,Data Engineer, 20 Tr - 50 Tr VND,"
Hà Nội Hồ Chí Minh
",12/03/2022
TATA TECHNOLOGIES PTE LTD,EE TECHNICAL ANALYST, 30 Tr - 70 Tr VND,"
Hà Nội
",25/02/2022
Headhunter HRchannels Group,Developer (Oracle/Java), 22 Tr - 44 Tr VND,"
Hà Nội Bắc Ninh Hồ Chí Minh
",10/03/2022
Tổ Hợp Công Nghệ Giáo Dục Topica,AI Engineer, Cạnh tranh,"
Hà Nội
",11/03/2022
CÔNG TY CP TẬP ĐOÀN FLC (FLC GROUP),[Bamboo Airways] - Chuyên viên Hỗ trợ Tuyển dụng – Talent Acquistion Support Specialist, 8 Tr - 15 Tr VND,"
Hà Nội
",14/03/2022
AMR Group,Operation Manager, 20 Tr - 40 Tr VND,"
Hồ Chí Minh Hà Nội
",07/03/2022
